1,6.1101,17.592
1,5.5277,9.1302
1,8.5186,13.662
1,7.0032,11.854
1,5.8598,6.8233
1,8.3829,11.886
1,7.4764,4.3483
1,8.5781,12
1,6.4862,6.5987
1,5.0546,3.8166
1,5.7107,3.2522
1,14.164,15.505
1,5.734,3.1551
1,8.4084,7.2258
1,5.6407,0.71618
1,5.3794,3.5129
1,6.3654,5.3048
1,5.1301,0.56077
1,6.4296,3.6518
1,7.0708,5.3893
1,6.1891,3.1386
1,20.27,21.767
1,5.4901,4.263
1,6.3261,5.1875
1,5.5649,3.0825
1,18.945,22.638
1,12.828,13.501
1,10.957,7.0467
1,13.176,14.692
1,22.203,24.147
1,5.2524,-1.22
1,6.5894,5.9966
1,9.2482,12.134
1,5.8918,1.8495
1,8.2111,6.5426
1,7.9334,4.5623
1,8.0959,4.1164
1,5.6063,3.3928
1,12.836,10.117
1,6.3534,5.4974
1,5.4069,0.55657
1,6.8825,3.9115
1,11.708,5.3854
1,5.7737,2.4406
1,7.8247,6.7318
1,7.0931,1.0463
1,5.0702,5.1337
1,5.8014,1.844
1,11.7,8.0043
1,5.5416,1.0179
1,7.5402,6.7504
1,5.3077,1.8396
1,7.4239,4.2885
1,7.6031,4.9981
1,6.3328,1.4233
1,6.3589,-1.4211
1,6.2742,2.4756
1,5.6397,4.6042
1,9.3102,3.9624
1,9.4536,5.4141
1,8.8254,5.1694
1,5.1793,-0.74279
1,21.279,17.929
1,14.908,12.054
1,18.959,17.054
1,7.2182,4.8852
1,8.2951,5.7442
1,10.236,7.7754
1,5.4994,1.0173
1,20.341,20.992
1,10.136,6.6799
1,7.3345,4.0259
1,6.0062,1.2784
1,7.2259,3.3411
1,5.0269,-2.6807
1,6.5479,0.29678
1,7.5386,3.8845
1,5.0365,5.7014
1,10.274,6.7526
1,5.1077,2.0576
1,5.7292,0.47953
1,5.1884,0.20421
1,6.3557,0.67861
1,9.7687,7.5435
1,6.5159,5.3436
1,8.5172,4.2415
1,9.1802,6.7981
1,6.002,0.92695
1,5.5204,0.152
1,5.0594,2.8214
1,5.7077,1.8451
1,7.6366,4.2959
1,5.8707,7.2029
1,5.3054,1.9869
1,8.2934,0.14454
1,13.394,9.0551
1,5.4369,0.61705
